# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS	MORPHEMES
25	Khispi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
26	Duhumbi	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
27	Khoina	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
28	Jerigaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
29	Khoitam	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
30	Rahung	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
31	Rupa	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
32	Shergaon	2sg	2sg	naŋ	naŋ	n a ŋ		6	6	n a ŋ	i n c	6	2sg
#
33	Khispi	3sg	3sg	wuj	wuj	w u j		7	7	w u j	i n c	7	3sg
34	Duhumbi	3sg	3sg	wɔj	wɔj	w ɔ j		7	7	w ɔ j	i n c	7	3sg
35	Khoina	3sg	3sg	laŋ-waː	laŋ+waː	l a ŋ + w aː		10 7	10 7	l a ŋ + w aː -	i n c + i n	10 7	3sg 3sg
36	Jerigaon	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7	3sg
37	Khoitam	3sg	3sg	waː-ʥi	waː+ʥi	w aː + dʑ i		7 9	7 9	w aː - + dʑ i	i n + i n	7 9	3sg 3sg
38	Rahung	3sg	3sg	hɛˀ ~ ɛˀ	hɛˀ	h ɛˀ		8	8	h ɛˀ	i n	8	3sg
39	Rupa	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7	3sg
40	Shergaon	3sg	3sg	waː	waː	w aː		7	7	w aː -	i n	7	3sg
#
603	Khoina	Bugun	Bugun	ʂə-luŋ	ʂə+luŋ	ʂ ə + l u ŋ		11 12	11 12	ʂ ə + l u ŋ	i n + i n c	11 12	bugun bugun
606	Rahung	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u + l u ŋ	i n + i n c	11 12	bugun bugun
607	Rupa	Bugun	Bugun	sə-luŋ	sə+luŋ	s ə + l u ŋ		11 12	11 12	s ə + l u ŋ	i n + i n c	11 12	bugun bugun
608	Shergaon	Bugun	Bugun	su-luŋ	su+luŋ	s u + l u ŋ		11 12	11 12	s u + l u ŋ	i n + i n c	11 12	bugun bugun
#
2041	Khispi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i + tɕʰ a	i n + i n	15 13	human-prefix indoaryanperson
2042	Duhumbi	Indo-Aryan person	Indo-Aryan person	bi-ʨʰa	bi+ʨʰa	b i + tɕʰ a		15 13	15 13	b i + tɕʰ a	i n + i n	15 13	human-prefix indoaryanperson
2043	Khoina	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə + tɕʰ uː	i n + i n	16 13	indoaryanperson indoaryanperson
2045	Khoitam	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə + tɕʰ uː	i n + i n	14 13	indoaryanperson indoaryanperson
2046	Rahung	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə + tɕʰ uː	i n + i n	14 13	indoaryanperson indoaryanperson
2047	Rupa	Indo-Aryan person	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə+ʨʰuː	n ə + tɕʰ uː		16 13	16 13	n ə + tɕʰ uː	i n + i n	16 13	indoaryanperson indoaryanperson
2048	Shergaon	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə + tɕʰ uː	i n + i n	16 13	indoaryanperson indoaryanperson
#
2091	Khoina	Jerigaon people	Jerigaon people	də-ʨĩː-ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i		19 17 18	19 17 18	d ə + tɕ ĩː + dʑ i	i n + i n + i n	19 17 18	jerigaonpeople jerigaonpeople ji-suffix1
2092	Jerigaon	Jerigaon people	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i		20 17 18	20 17 18	kʰ + tɕ ĩː + dʑ i	i + i n + i n	20 17 18	jerigaonpeople jerigaonpeople ji-suffix1
2095	Rupa	Jerigaon people	Jerigaon people	di-ʨʰi-ʥi	di+ʨʰi+ʥi	d i + tɕʰ i + dʑ i		19 17 18	19 17 18	d i + tɕʰ i + dʑ i	i n + i n + i n	19 17 18	jerigaonpeople jerigaonpeople ji-suffix1
#
2113	Khispi	Khoitam people	Khoitam people	kʰus-tam-bi	kʰus+tam+bi	kʰ u s + t a m + b i		21 23 22	21 23 22	kʰ u s + t a m + b i	i n c + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1
2115	Khoina	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - + t a m + dʑ i	i n + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1
2116	Jerigaon	Khoitam people	Khoitam people	kʰ-tam-ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i		21 23 22	21 23 22	kʰ - - + t a m + dʑ i	i + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1
2119	Rupa	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - + t a m + dʑ i	i n + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1
2120	Shergaon	Khoitam people	Khoitam people	ka-tam-ʥi	ka+tam+ʥi	k a + t a m + dʑ i		21 23 22	21 23 22	k a - + t a m + dʑ i	i n + i n c + i n	21 23 18	khoitampeople khoitampeople ji-suffix1
#
2499	Khoina	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u + n ɔ̃ː	i n + i n	25 24	? mijipeople
2500	Jerigaon	Miji people	Miji people	kʰu-nɔ̃ː-ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i		25 24 26	25 24 26	kʰ u + n ɔ̃ː + dʑ i	i n + i n + i n	25 24 26	? mijipeople mijipeople
2502	Rahung	Miji people	Miji people	kʰu-nũː(ŋ)	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u + n ũː	i n + i n	25 24	? mijipeople
2503	Rupa	Miji people	Miji people	kʰu-nũː	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u + n ũː	i n + i n	25 24	? mijipeople
2504	Shergaon	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u + n ɔ̃ː	i n + i n	25 24	? mijipeople
#
2537	Khispi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n + p a	i n c + i n	30 28	monpa pa-suffix1
2538	Duhumbi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n + p a	i n c + i n	30 28	monpa pa-suffix1
2539	Khoina	Monpa	Monpa	ʥə-mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː		29 30	29 27	dʑ ə + m ɐ̃ː -	i n + i n	29 30	monpa monpa
2542	Rahung	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n + p a	i n c + i n	30 28	monpa pa-suffix1
2543	Rupa	Monpa	Monpa	ʥə-mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː		29 30	29 27	dʑ ə + m ɔ̃ː -	i n + i n	29 30	monpa monpa
2544	Shergaon	Monpa	Monpa	ʥɔ-mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː		29 30	29 27	dʑ ɔ + m ɔ̃ː -	i n + i n	29 30	monpa monpa
#
2657	Khispi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m + ɕ u + p a	i n c + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2
2658	Duhumbi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m + ɕ u + p a	i n c + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2
2659	Khoina	Namshu people	Namshu people	na-ʦʰɔː-ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i		33 31 32	33 31 32	n a - + tsʰ ɔː + dʑ i	i n + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2
2660	Jerigaon	Namshu people	Namshu people	nə-ʨo-ʥi	nə+ʨo+ʥi	n ə + tɕ o + dʑ i		33 31 32	33 31 32	n ə - + tɕ o + dʑ i	i n + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2
2662	Rahung	Namshu people	Namshu people	pʰ-ʨʰoː-ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i		33 31 32	34 31 32	pʰ - - + tɕʰ oː + dʑ i	i + i n + i n	33 31 32	sky-prefix1 namshupeople pa-suffix2
#
3073	Khispi	Puroik	Puroik	bi-ɕ-taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ		37 38 35	37 38 35	b i + ɕ + t a ŋ	i n + i + i n c	15 38 35	human-prefix puroik puroik
3074	Duhumbi	Puroik	Puroik	bi-s-taŋ	bi+s+taŋ	b i + s + t a ŋ		37 38 35	37 38 35	b i + s + t a ŋ	i n + i + i n c	15 38 35	human-prefix puroik puroik
3075	Khoina	Puroik	Puroik	ɕ-taŋ	ɕ+taŋ	ɕ + t a ŋ		38 35	36 35	ɕ + t a ŋ	i + i n c	38 35	puroik puroik
3079	Rupa	Puroik	Puroik	s-taŋ	s+taŋ	s + t a ŋ		38 35	36 35	s + t a ŋ	i + i n c	38 35	puroik puroik
#
3137	Khispi	Rahung, people of	Rahung, people of	la-pʰuŋ-bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i		41 40 39	42 40 39	l a + pʰ u ŋ + b i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1
3139	Khoina	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ i ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1
3140	Jerigaon	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ i ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1
3143	Rupa	Rahung, people of	Rahung, people of	rə-pʰyŋ-ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i		41 40 39	41 40 39	r ə + pʰ y ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1
3144	Shergaon	Rahung, people of	Rahung, people of	ru-pʰuŋ-ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i		41 40 39	41 40 39	r u + pʰ u ŋ + dʑ i	i n + i n c + i n	41 40 18	rahungpeopleof rahungpeopleof ji-suffix1
#
3491	Khoina	Sherdukpen	Sherdukpen	tʰɔː-mø-ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i		44 43 45	44 43 45	tʰ ɔː - + m ø + dʑ i	i n + i n + i n	44 43 18	sherdukpen sherdukpen ji-suffix1
3492	Jerigaon	Sherdukpen	Sherdukpen	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i		44 45	44 46	tʰ ɔ̃ ŋ + dʑ i	i n c + i n	44 18	sherdukpen ji-suffix1
3494	Rahung	Sherdukpen	Sherdukpen	tʰə-mø-ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i		44 43 45	44 43 45	tʰ ə - + m ø + dʑ i	i n + i n + i n	44 43 18	sherdukpen sherdukpen ji-suffix1
3495	Rupa	Sherdukpen	Sherdukpen	møˀ	møˀ	m øˀ		43	43	m øˀ	i n	43	sherdukpen
3496	Shergaon	Sherdukpen	Sherdukpen	meˀ	meˀ	m eˀ		43	43	m eˀ	i n	43	sherdukpen
#
3497	Khispi	Shergaon, people of	Shergaon, people of	ɕɛl-pi	ɕɛl+pi	ɕ ɛ l + p i		47 48	47 49	ɕ ɛ l + p i	i n c + i n	47 48	shergaonpeopleof shergaonpeopleof
3499	Khoina	Shergaon, people of	Shergaon, people of	ʂɛ̃ː(n)-ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː + dʑ i		47 48	47 48	ʂ ɛ̃ː - + dʑ i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof
3500	Jerigaon	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - + dʑ i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof
3502	Rahung	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - + dʑ i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof
3503	Rupa	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - + dʑ i	i n + i n	47 48	shergaonpeopleof shergaonpeopleof
#
4145	Khispi	Thembang people	Thembang people	tʰje-maŋ-bi	tʰje+maŋ+bi	tʰ j e + m a ŋ + b i		50 51 52	50 51 52	tʰ j e - + m a ŋ + b i	i m n + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1
4146	Duhumbi	Thembang people	Thembang people	tʰɛm-baŋ-pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a		50 51 52	50 51 52	tʰ - ɛ m + b a ŋ + p a	i n c + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1
4147	Khoina	Thembang people	Thembang people	tʰɛm-baŋ-ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - ɛ m + b a ŋ + dʑ i	i n c + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1
4148	Jerigaon	Thembang people	Thembang people	tʰəbang-ʥi	tʰəbaŋ+ʥi	tʰ ə + b a ŋ + dʑ i	!modified this from "ng" to "ŋ" @lingulist	54 53	54 53	tʰ ə + b a ŋ	i n + i n c + i n	54 53	thembangpeople thembangpeople
4150	Rahung	Thembang people	Thembang people	tʰam-baŋ-ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - a m + b a ŋ + dʑ i	i n c + i n c + i n	50 51 18	thembangpeople thembangpeople ji-suffix1
#
41	Khispi	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	ablative
42	Duhumbi	ablative	ablative	-lɔˀ	+lɔˀ	l ɔˀ		55	55	l ɔˀ	i n	55	ablative
43	Khoina	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	ablative
44	Jerigaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	ablative
45	Khoitam	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	ablative
46	Rahung	ablative	ablative	-rɔ	+rɔ	r ɔ		55	55	r ɔ	i n	55	ablative
47	Rupa	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	ablative
48	Shergaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55	ablative
#
49	Khispi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ	i n c	58	abovetop
50	Duhumbi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ	i n c	58	abovetop
51	Khoina	above, top	above, top	a-ʦʰɔ̃ː(ŋ)	a+ʦʰɔ̃ː	a + tsʰ ɔ̃ː		56 58	56 57	a + tsʰ ɔ̃ː -	n + i n	56 58	u/a-prefix abovetop
52	Jerigaon	above, top	above, top	a-ʨʰɔ̃ː(ŋ)	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː		56 58	56 57	a + tɕʰ ɔ̃ː -	n + i n	56 58	u/a-prefix abovetop
53	Khoitam	above, top	above, top	a-ʨʰũː(ŋ)	a+ʨʰũː	a + tɕʰ ũː		56 58	56 57	a + tɕʰ ũː -	n + i n	56 58	u/a-prefix abovetop
#
57	Khispi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n	i n c	59	achieveobtain
58	Duhumbi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n	i n c	59	achieveobtain
59	Khoina	achieve, obtain	achieve, obtain	mɐ̃ː	mɐ̃ː	m ɐ̃ː		59	59	m ɐ̃ː -	i n	59	achieveobtain
61	Khoitam	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -	i n	59	achieveobtain
62	Rahung	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -	i n	59	achieveobtain
63	Rupa	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -	i n	59	achieveobtain
#
65	Khispi	aconite	aconite	si	si	s i		60	60	s i	i n	60	aconite
66	Duhumbi	aconite	aconite	si	si	s i		60	60	s i	i n	60	aconite
67	Khoina	aconite	aconite	saː	saː	s aː		60	60	s aː	i n	60	aconite
68	Jerigaon	aconite	aconite	sɛː	sɛː	s ɛː		60	60	s ɛː	i n	60	aconite
69	Khoitam	aconite	aconite	sɛ	sɛ	s ɛ		60	60	s ɛ	i n	60	aconite
70	Rahung	aconite	aconite	sɛˀ	sɛˀ	s ɛˀ		60	60	s ɛˀ	i n	60	aconite
71	Rupa	aconite	aconite	saː	saː	s aː		60	60	s aː	i n	60	aconite
72	Shergaon	aconite	aconite	saː	saː	s aː		60	60	s aː	i n	60	aconite
#
73	Khispi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a + kʰ u ŋ	i n + i n c	62 61	after up
74	Duhumbi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a + kʰ u ŋ	i n + i n c	62 61	after up
75	Khoina	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a + kʰ y ŋ	i n + i n c	62 61	after up
78	Rahung	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a + kʰ y ŋ	i n + i n c	62 61	after up
79	Rupa	after	after	də-kʰyŋ	də+kʰyŋ	d ə + kʰ y ŋ		62 61	63 61	d ə + kʰ y ŋ	i n + i n c	62 61	after up
#
83	Khoina	afternoon	afternoon	na-jɔ-tøn	na+jɔ+tøn	n a + j ɔ + t ø n		64 65 66	64 65 66	n a - + j ɔ + t ø n	i n + i n + i n c	64 48 66	afternoon shergaonpeopleof afternoon
84	Jerigaon	afternoon	afternoon	ny-jɔ-tɛn	ny+jɔ+tɛn	n y + j ɔ + t ɛ n		64 65 66	64 65 66	n y - + j ɔ + t ɛ n	i n + i n + i n c	64 487 66	afternoon ? afternoon
85	Khoitam	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - + j ɔ	i n + i n	64 48	afternoon shergaonpeopleof
86	Rahung	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - + j ɔ	i n + i n	64 48	afternoon shergaonpeopleof
87	Rupa	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w	i n c	64	afternoon
88	Shergaon	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w	i n c	64	afternoon
#
89	Khispi	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ	n	67	?
90	Duhumbi	agent	agent	-ɔˀ	+ɔˀ	ɔˀ		67	67	ɔˀ	n	67	?
93	Khoitam	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ	n	67	?
94	Rahung	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ	n	67	?
95	Rupa	agent	agent	-ɔ̃	+ɔ̃	ɔ̃		67	67	ɔ̃	n	67	?
#
97	Khispi	alive, healthy	alive, healthy	ɔ-haŋ	ɔ+haŋ	ɔ + h a ŋ		68 69	68 69	ɔ + h a ŋ	n + i n c	68 69	u/o/a-prefix alivehealthy
98	Duhumbi	alive, healthy	alive, healthy	u-kʰaŋ	u+kʰaŋ	u + kʰ a ŋ		68 69	68 69	u + kʰ a ŋ	n + i n c	68 69	u/o/a-prefix alivehealthy
101	Khoitam	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a + h a ŋ	n + i n c	68 69	u/o/a-prefix alivehealthy
102	Rahung	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a + h a ŋ	n + i n c	68 69	u/o/a-prefix alivehealthy
103	Rupa	alive, healthy	alive, healthy	a-haŋ-ba	a+haŋ+ba	a + h a ŋ + b a		68 69 70	68 69 70	a + h a ŋ + b a	n + i n c + i n	68 69 70	u/o/a-prefix alivehealthy alivehealthy
104	Shergaon	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a + h a ŋ	n + i n c	68 69	u/o/a-prefix alivehealthy
#
107	Khoina	all	all	a-tʰɔn-ʥi	a+tʰɔn+ʥi	a + tʰ ɔ n + dʑ i		72 71 73	72 71 73	a + tʰ ɔ n + dʑ i	n + i n c + i n	56 71 73	u/a-prefix all all
109	Khoitam	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71	u/a-prefix all
110	Rahung	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71	u/a-prefix all
111	Rupa	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71	u/a-prefix all
112	Shergaon	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71	u/a-prefix all
#
113	Khispi	allative	allative	-ta	+ta	t a		74	74	t a -	i n	74	allative
114	Duhumbi	allative	allative	-ta	+ta	t a		74	74	t a -	i n	74	allative
116	Jerigaon	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n	i n c	74	allative
117	Khoitam	allative	allative	-tan	+tan	t a n		74	74	t a n	i n c	74	allative
118	Rahung	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n	i n c	74	allative
119	Rupa	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː -	i n	74	allative
120	Shergaon	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː -	i n	74	allative
#
122	Duhumbi	amaranth	amaranth	mɛs-kɔŋ	mɛs+kɔŋ	m ɛ s + k ɔ ŋ		76 75	76 75	m ɛ s + k ɔ ŋ	i n c + i n c	76 401	amaranth ?
124	Jerigaon	amaranth	amaranth	mə-kuŋ	mə+kuŋ	m ə + k u ŋ		76 75	76 75	m ə - + k u ŋ	i n + i n c	76 401	amaranth ?
#
