ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE	CROSSIDS
3499	Khoina	Shergaon, people of	Shergaon, people of	ʂɛ̃ː(n)-ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː + dʑ i		47 48	47 48	ʂ ɛ̃ː - + dʑ i	i n + i n	47 48
3500	Jerigaon	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - + dʑ i	i n + i n	47 48
3502	Rahung	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - + dʑ i	i n + i n	47 48
3503	Rupa	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - + dʑ i	i n + i n	47 48
4145	Khispi	Thembang people	Thembang people	tʰje-maŋ-bi	tʰje+maŋ+bi	tʰ j e + m a ŋ + b i		50 51 52	50 51 52	tʰ j e - + m a ŋ + b i	i m n + i n c + i n	50 51 18
4146	Duhumbi	Thembang people	Thembang people	tʰɛm-baŋ-pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a		50 51 52	50 51 52	tʰ - ɛ m + b a ŋ + p a	i n c + i n c + i n	50 51 18
4147	Khoina	Thembang people	Thembang people	tʰɛm-baŋ-ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - ɛ m + b a ŋ + dʑ i	i n c + i n c + i n	50 51 18
4148	Jerigaon	Thembang people	Thembang people	tʰəbang-ʥi	tʰəbaŋ+ʥi	tʰ ə + b a ŋ + dʑ i	!modified this from "ng" to "ŋ" @lingulist	54 53	54 53	tʰ ə + b a ŋ	i n + i n c + i n	54 53
4150	Rahung	Thembang people	Thembang people	tʰam-baŋ-ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - a m + b a ŋ + dʑ i	i n c + i n c + i n	50 51 18
41	Khispi	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55
42	Duhumbi	ablative	ablative	-lɔˀ	+lɔˀ	l ɔˀ		55	55	l ɔˀ	i n	55
43	Khoina	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55
44	Jerigaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55
45	Khoitam	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55
46	Rahung	ablative	ablative	-rɔ	+rɔ	r ɔ		55	55	r ɔ	i n	55
47	Rupa	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55
48	Shergaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ	i n	55
49	Khispi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ	i n c	58
50	Duhumbi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ	i n c	58
51	Khoina	above, top	above, top	a-ʦʰɔ̃ː(ŋ)	a+ʦʰɔ̃ː	a + tsʰ ɔ̃ː		56 58	56 57	a + tsʰ ɔ̃ː -	n + i n	56 58
52	Jerigaon	above, top	above, top	a-ʨʰɔ̃ː(ŋ)	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː		56 58	56 57	a + tɕʰ ɔ̃ː -	n + i n	56 58
53	Khoitam	above, top	above, top	a-ʨʰũː(ŋ)	a+ʨʰũː	a + tɕʰ ũː		56 58	56 57	a + tɕʰ ũː -	n + i n	56 58
57	Khispi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n	i n c	59
58	Duhumbi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n	i n c	59
59	Khoina	achieve, obtain	achieve, obtain	mɐ̃ː	mɐ̃ː	m ɐ̃ː		59	59	m ɐ̃ː -	i n	59
61	Khoitam	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -	i n	59
62	Rahung	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -	i n	59
63	Rupa	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -	i n	59
65	Khispi	aconite	aconite	si	si	s i		60	60	s i	i n	60
66	Duhumbi	aconite	aconite	si	si	s i		60	60	s i	i n	60
67	Khoina	aconite	aconite	saː	saː	s aː		60	60	s aː	i n	60
68	Jerigaon	aconite	aconite	sɛː	sɛː	s ɛː		60	60	s ɛː	i n	60
69	Khoitam	aconite	aconite	sɛ	sɛ	s ɛ		60	60	s ɛ	i n	60
70	Rahung	aconite	aconite	sɛˀ	sɛˀ	s ɛˀ		60	60	s ɛˀ	i n	60
71	Rupa	aconite	aconite	saː	saː	s aː		60	60	s aː	i n	60
72	Shergaon	aconite	aconite	saː	saː	s aː		60	60	s aː	i n	60
73	Khispi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a + kʰ u ŋ	i n + i n c	62 61
74	Duhumbi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a + kʰ u ŋ	i n + i n c	62 61
75	Khoina	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a + kʰ y ŋ	i n + i n c	62 61
78	Rahung	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a + kʰ y ŋ	i n + i n c	62 61
79	Rupa	after	after	də-kʰyŋ	də+kʰyŋ	d ə + kʰ y ŋ		62 61	63 61	d ə + kʰ y ŋ	i n + i n c	62 61
83	Khoina	afternoon	afternoon	na-jɔ-tøn	na+jɔ+tøn	n a + j ɔ + t ø n		64 65 66	64 65 66	n a - + j ɔ + t ø n	i n + i n + i n c	64 48 66
84	Jerigaon	afternoon	afternoon	ny-jɔ-tɛn	ny+jɔ+tɛn	n y + j ɔ + t ɛ n		64 65 66	64 65 66	n y - + j ɔ + t ɛ n	i n + i n + i n c	64 487 66
85	Khoitam	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - + j ɔ	i n + i n	64 48
86	Rahung	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - + j ɔ	i n + i n	64 48
87	Rupa	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w	i n c	64
88	Shergaon	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w	i n c	64
89	Khispi	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ	n	67
90	Duhumbi	agent	agent	-ɔˀ	+ɔˀ	ɔˀ		67	67	ɔˀ	n	67
93	Khoitam	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ	n	67
94	Rahung	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ	n	67
95	Rupa	agent	agent	-ɔ̃	+ɔ̃	ɔ̃		67	67	ɔ̃	n	67
97	Khispi	alive, healthy	alive, healthy	ɔ-haŋ	ɔ+haŋ	ɔ + h a ŋ		68 69	68 69	ɔ + h a ŋ	n + i n c	68 69
98	Duhumbi	alive, healthy	alive, healthy	u-kʰaŋ	u+kʰaŋ	u + kʰ a ŋ		68 69	68 69	u + kʰ a ŋ	n + i n c	68 69
101	Khoitam	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a + h a ŋ	n + i n c	68 69
102	Rahung	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a + h a ŋ	n + i n c	68 69
103	Rupa	alive, healthy	alive, healthy	a-haŋ-ba	a+haŋ+ba	a + h a ŋ + b a		68 69 70	68 69 70	a + h a ŋ + b a	n + i n c + i n	68 69 70
104	Shergaon	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a + h a ŋ	n + i n c	68 69
107	Khoina	all	all	a-tʰɔn-ʥi	a+tʰɔn+ʥi	a + tʰ ɔ n + dʑ i		72 71 73	72 71 73	a + tʰ ɔ n + dʑ i	n + i n c + i n	56 71 73
109	Khoitam	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71
110	Rahung	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71
111	Rupa	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71
112	Shergaon	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a + tʰ ɔ m	n + i n c	56 71
113	Khispi	allative	allative	-ta	+ta	t a		74	74	t a -	i n	74
114	Duhumbi	allative	allative	-ta	+ta	t a		74	74	t a -	i n	74
116	Jerigaon	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n	i n c	74
117	Khoitam	allative	allative	-tan	+tan	t a n		74	74	t a n	i n c	74
118	Rahung	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n	i n c	74
119	Rupa	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː -	i n	74
120	Shergaon	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː -	i n	74
122	Duhumbi	amaranth	amaranth	mɛs-kɔŋ	mɛs+kɔŋ	m ɛ s + k ɔ ŋ		76 75	76 75	m ɛ s + k ɔ ŋ	i n c + i n c	76 401
124	Jerigaon	amaranth	amaranth	mə-kuŋ	mə+kuŋ	m ə + k u ŋ		76 75	76 75	m ə - + k u ŋ	i n + i n c	76 401
129	Khispi	angry (vi)	angry (vi)	(ki) ʦʰik	ʦʰik	tsʰ i k		79	79	tsʰ i k	i n c	488
130	Duhumbi	angry (vi)	angry (vi)	(ki) ʦʰik	ʦʰik	tsʰ i k		79	79	tsʰ i k	i n c	488
131	Khoina	angry (vi)	angry (vi)	lyŋ ʐyk	lyŋ_ʐyk	l y ŋ _ ʐ y k		78 77	78 77	l y ŋ + ʐ y k	i n c + i n c	78 77
132	Jerigaon	angry (vi)	angry (vi)	lyŋ zyk	lyŋ_zyk	l y ŋ _ z y k		78 77	78 77	l y ŋ + z y k	i n c + i n c	78 77
133	Khoitam	angry (vi)	angry (vi)	liŋ zyk	liŋ_zyk	l i ŋ _ z y k		78 77	78 77	l i ŋ + z y k	i n c + i n c	78 77
134	Rahung	angry (vi)	angry (vi)	liŋ zik	liŋ_zik	l i ŋ _ z i k		78 77	78 77	l i ŋ + z i k	i n c + i n c	78 77
135	Rupa	angry (vi)	angry (vi)	zə-lik	zə+lik	z ə + l i k		77 78	77 78	z ə - + l i k	i n + i n c	77 78
136	Shergaon	angry (vi)	angry (vi)	zə-lik	zə+lik	z ə + l i k		77 78	77 78	z ə - + l i k	i n + i n c	77 78
137	Khispi	ant	ant	(kʰe-) ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		80	80	tɕʰ ɔ k	i n c	80
138	Duhumbi	ant	ant	(kʰin-) ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		80	80	tɕʰ ɔ k	i n c	80
139	Khoina	ant	ant	ʂan-dʐɔk	ʂan+dʐɔk	ʂ a n + ɖʐ ɔ k		81 80	81 80	ʂ a n + ɖʐ ɔ k	i n c + i n c	81 80
140	Jerigaon	ant	ant	san-ʥɔk	san+ʥɔk	s a n + dʑ ɔ k		81 80	81 80	s a n + dʑ ɔ k	i n c + i n c	81 80
141	Khoitam	ant	ant	saŋ-ʥɔk	saŋ+ʥɔk	s a ŋ + dʑ ɔ k		81 80	81 80	s a ŋ + dʑ ɔ k	i n c + i n c	81 80
142	Rahung	ant	ant	saŋ-ʥɔk	saŋ+ʥɔk	s a ŋ + dʑ ɔ k		81 80	81 80	s a ŋ + dʑ ɔ k	i n c + i n c	81 80
143	Rupa	ant	ant	san-ɟɔk ~ san-ʥɔk	san+ɟɔk	s a n + ɟ ɔ k		81 80	81 80	s a n + ɟ ɔ k	i n c + i n c	81 80
144	Shergaon	ant	ant	san-ʥɔk	san+ʥɔk	s a n + dʑ ɔ k		81 80	81 80	s a n + dʑ ɔ k	i n c + i n c	81 80
145	Khispi	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t	i n c	82
146	Duhumbi	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t	i n c	82
147	Khoina	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t	i n c	82
148	Jerigaon	arrive	arrive	pʰɛʔ	pʰɛʔ	pʰ ɛ ʔ		82	82	pʰ ɛ ʔ	i n c	82
149	Khoitam	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t	i n c	82
150	Rahung	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t	i n c	82
153	Khispi	arrow	arrow	mik	mik	m i k		83	83	m i k	i n c	83
