ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT	STRUCTURE
2119	Rupa	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - g ə - + t a m t a m + dʑ i dʑ i	i n + i n c + i n
2120	Shergaon	Khoitam people	Khoitam people	ka-tam-ʥi	ka+tam+ʥi	k a + t a m + dʑ i		21 23 22	21 23 22	k a - k a - + t a m t a m + dʑ i dʑ i	i n + i n c + i n
2499	Khoina	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u kʰ u + n ɔ̃ː n ɔ̃ː	i n + i n
2500	Jerigaon	Miji people	Miji people	kʰu-nɔ̃ː-ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i		25 24 26	25 24 26	kʰ u kʰ u + n ɔ̃ː n ɔ̃ː + dʑ i dʑ i	i n + i n + i n
2502	Rahung	Miji people	Miji people	kʰu-nũː(ŋ)	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u kʰ u + n ũː n ũː	i n + i n
2503	Rupa	Miji people	Miji people	kʰu-nũː	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u kʰ u + n ũː n ũː	i n + i n
2504	Shergaon	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u kʰ u + n ɔ̃ː n ɔ̃ː	i n + i n
2537	Khispi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n m ɔ n + p a p a	i n c + i n
2538	Duhumbi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n m ɔ n + p a p a	i n c + i n
2539	Khoina	Monpa	Monpa	ʥə-mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː		29 30	29 27	dʑ ə dʑ ə + m ɐ̃ː - m ɐ̃ː -	i n + i n
2542	Rahung	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n m ɔ n + p a p a	i n c + i n
2543	Rupa	Monpa	Monpa	ʥə-mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː		29 30	29 27	dʑ ə dʑ ə + m ɔ̃ː - m ɔ̃ː -	i n + i n
2544	Shergaon	Monpa	Monpa	ʥɔ-mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː		29 30	29 27	dʑ ɔ dʑ ɔ + m ɔ̃ː - m ɔ̃ː -	i n + i n
2657	Khispi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m n a m + ɕ u ɕ u + p a p a	i n c + i n + i n
2658	Duhumbi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m n a m + ɕ u ɕ u + p a p a	i n c + i n + i n
2659	Khoina	Namshu people	Namshu people	na-ʦʰɔː-ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i		33 31 32	33 31 32	n a - n a - + tsʰ ɔː tsʰ ɔː + dʑ i dʑ i	i n + i n + i n
2660	Jerigaon	Namshu people	Namshu people	nə-ʨo-ʥi	nə+ʨo+ʥi	n ə + tɕ o + dʑ i		33 31 32	33 31 32	n ə - n ə - + tɕ o tɕ o + dʑ i dʑ i	i n + i n + i n
2662	Rahung	Namshu people	Namshu people	pʰ-ʨʰoː-ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i		33 31 32	34 31 32	pʰ - - pʰ - - + tɕʰ oː tɕʰ oː + dʑ i dʑ i	i + i n + i n
3073	Khispi	Puroik	Puroik	bi-ɕ-taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ		37 38 35	37 38 35	b i b i + ɕ ɕ + t a ŋ t a ŋ	i n + i + i n c
3074	Duhumbi	Puroik	Puroik	bi-s-taŋ	bi+s+taŋ	b i + s + t a ŋ		37 38 35	37 38 35	b i b i + s s + t a ŋ t a ŋ	i n + i + i n c
3075	Khoina	Puroik	Puroik	ɕ-taŋ	ɕ+taŋ	ɕ + t a ŋ		38 35	36 35	ɕ ɕ + t a ŋ t a ŋ	i + i n c
3079	Rupa	Puroik	Puroik	s-taŋ	s+taŋ	s + t a ŋ		38 35	36 35	s s + t a ŋ t a ŋ	i + i n c
3137	Khispi	Rahung, people of	Rahung, people of	la-pʰuŋ-bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i		41 40 39	42 40 39	l a l a + pʰ u ŋ pʰ u ŋ + b i b i	i n + i n c + i n
3139	Khoina	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə r ə + pʰ i ŋ pʰ i ŋ + dʑ i dʑ i	i n + i n c + i n
3140	Jerigaon	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə r ə + pʰ i ŋ pʰ i ŋ + dʑ i dʑ i	i n + i n c + i n
3143	Rupa	Rahung, people of	Rahung, people of	rə-pʰyŋ-ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i		41 40 39	41 40 39	r ə r ə + pʰ y ŋ pʰ y ŋ + dʑ i dʑ i	i n + i n c + i n
3144	Shergaon	Rahung, people of	Rahung, people of	ru-pʰuŋ-ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i		41 40 39	41 40 39	r u r u + pʰ u ŋ pʰ u ŋ + dʑ i dʑ i	i n + i n c + i n
3491	Khoina	Sherdukpen	Sherdukpen	tʰɔː-mø-ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i		44 43 45	44 43 45	tʰ ɔː - tʰ ɔː - + m ø m ø + dʑ i dʑ i	i n + i n + i n
3492	Jerigaon	Sherdukpen	Sherdukpen	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i		44 45	44 46	tʰ ɔ̃ ŋ tʰ ɔ̃ ŋ + dʑ i dʑ i	i n c + i n
3494	Rahung	Sherdukpen	Sherdukpen	tʰə-mø-ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i		44 43 45	44 43 45	tʰ ə - tʰ ə - + m ø m ø + dʑ i dʑ i	i n + i n + i n
3495	Rupa	Sherdukpen	Sherdukpen	møˀ	møˀ	m øˀ		43	43	m øˀ m øˀ	i n
3496	Shergaon	Sherdukpen	Sherdukpen	meˀ	meˀ	m eˀ		43	43	m eˀ m eˀ	i n
3497	Khispi	Shergaon, people of	Shergaon, people of	ɕɛl-pi	ɕɛl+pi	ɕ ɛ l + p i		47 48	47 49	ɕ ɛ l ɕ ɛ l + p i p i	i n c + i n
3499	Khoina	Shergaon, people of	Shergaon, people of	ʂɛ̃ː(n)-ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː + dʑ i		47 48	47 48	ʂ ɛ̃ː - ʂ ɛ̃ː - + dʑ i dʑ i	i n + i n
3500	Jerigaon	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - s ɛ̃ː - + dʑ i dʑ i	i n + i n
3502	Rahung	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - s ɛ̃ː - + dʑ i dʑ i	i n + i n
3503	Rupa	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - s ɛ̃ː - + dʑ i dʑ i	i n + i n
4145	Khispi	Thembang people	Thembang people	tʰje-maŋ-bi	tʰje+maŋ+bi	tʰ j e + m a ŋ + b i		50 51 52	50 51 52	tʰ j e - tʰ j e - + m a ŋ m a ŋ + b i b i	i m n + i n c + i n
4146	Duhumbi	Thembang people	Thembang people	tʰɛm-baŋ-pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a		50 51 52	50 51 52	tʰ - ɛ m tʰ - ɛ m + b a ŋ b a ŋ + p a p a	i n c + i n c + i n
4147	Khoina	Thembang people	Thembang people	tʰɛm-baŋ-ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - ɛ m tʰ - ɛ m + b a ŋ b a ŋ + dʑ i dʑ i	i n c + i n c + i n
4148	Jerigaon	Thembang people	Thembang people	tʰəbang-ʥi	tʰəbaŋ+ʥi	tʰ ə + b a ŋ + dʑ i	!modified this from "ng" to "ŋ" @lingulist	54 53	54 53	tʰ ə tʰ ə + b a ŋ b a ŋ	i n + i n c + i n
4150	Rahung	Thembang people	Thembang people	tʰam-baŋ-ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - a m tʰ - a m + b a ŋ b a ŋ + dʑ i dʑ i	i n c + i n c + i n
41	Khispi	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ l ɔ	i n
42	Duhumbi	ablative	ablative	-lɔˀ	+lɔˀ	l ɔˀ		55	55	l ɔˀ l ɔˀ	i n
43	Khoina	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ l ɔ	i n
44	Jerigaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ l ɔ	i n
45	Khoitam	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ l ɔ	i n
46	Rahung	ablative	ablative	-rɔ	+rɔ	r ɔ		55	55	r ɔ r ɔ	i n
47	Rupa	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ l ɔ	i n
48	Shergaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ l ɔ	i n
49	Khispi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ tɕʰ a ŋ	i n c
50	Duhumbi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ tɕʰ a ŋ	i n c
51	Khoina	above, top	above, top	a-ʦʰɔ̃ː(ŋ)	a+ʦʰɔ̃ː	a + tsʰ ɔ̃ː		56 58	56 57	a a + tsʰ ɔ̃ː - tsʰ ɔ̃ː -	n + i n
52	Jerigaon	above, top	above, top	a-ʨʰɔ̃ː(ŋ)	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː		56 58	56 57	a a + tɕʰ ɔ̃ː - tɕʰ ɔ̃ː -	n + i n
53	Khoitam	above, top	above, top	a-ʨʰũː(ŋ)	a+ʨʰũː	a + tɕʰ ũː		56 58	56 57	a a + tɕʰ ũː - tɕʰ ũː -	n + i n
57	Khispi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n m a n	i n c
58	Duhumbi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n m a n	i n c
59	Khoina	achieve, obtain	achieve, obtain	mɐ̃ː	mɐ̃ː	m ɐ̃ː		59	59	m ɐ̃ː - m ɐ̃ː -	i n
61	Khoitam	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː - m ɔ̃ː -	i n
62	Rahung	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː - m ɔ̃ː -	i n
63	Rupa	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː - m ɔ̃ː -	i n
65	Khispi	aconite	aconite	si	si	s i		60	60	s i s i	i n
66	Duhumbi	aconite	aconite	si	si	s i		60	60	s i s i	i n
67	Khoina	aconite	aconite	saː	saː	s aː		60	60	s aː s aː	i n
68	Jerigaon	aconite	aconite	sɛː	sɛː	s ɛː		60	60	s ɛː s ɛː	i n
69	Khoitam	aconite	aconite	sɛ	sɛ	s ɛ		60	60	s ɛ s ɛ	i n
70	Rahung	aconite	aconite	sɛˀ	sɛˀ	s ɛˀ		60	60	s ɛˀ s ɛˀ	i n
71	Rupa	aconite	aconite	saː	saː	s aː		60	60	s aː s aː	i n
72	Shergaon	aconite	aconite	saː	saː	s aː		60	60	s aː s aː	i n
73	Khispi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a l a + kʰ u ŋ kʰ u ŋ	i n + i n c
74	Duhumbi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a l a + kʰ u ŋ kʰ u ŋ	i n + i n c
75	Khoina	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a l a + kʰ y ŋ kʰ y ŋ	i n + i n c
78	Rahung	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a l a + kʰ y ŋ kʰ y ŋ	i n + i n c
79	Rupa	after	after	də-kʰyŋ	də+kʰyŋ	d ə + kʰ y ŋ		62 61	63 61	d ə d ə + kʰ y ŋ kʰ y ŋ	i n + i n c
83	Khoina	afternoon	afternoon	na-jɔ-tøn	na+jɔ+tøn	n a + j ɔ + t ø n		64 65 66	64 65 66	n a - n a - + j ɔ j ɔ + t ø n t ø n	i n + i n + i n c
84	Jerigaon	afternoon	afternoon	ny-jɔ-tɛn	ny+jɔ+tɛn	n y + j ɔ + t ɛ n		64 65 66	64 65 66	n y - n y - + j ɔ j ɔ + t ɛ n t ɛ n	i n + i n + i n c
85	Khoitam	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - n y - + j ɔ j ɔ	i n + i n
86	Rahung	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - n y - + j ɔ j ɔ	i n + i n
87	Rupa	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w ɲ a w	i n c
88	Shergaon	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w ɲ a w	i n c
89	Khispi	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ ɔ	n
90	Duhumbi	agent	agent	-ɔˀ	+ɔˀ	ɔˀ		67	67	ɔˀ ɔˀ	n
93	Khoitam	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ ɔ	n
94	Rahung	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ ɔ	n
95	Rupa	agent	agent	-ɔ̃	+ɔ̃	ɔ̃		67	67	ɔ̃ ɔ̃	n
97	Khispi	alive, healthy	alive, healthy	ɔ-haŋ	ɔ+haŋ	ɔ + h a ŋ		68 69	68 69	ɔ ɔ + h a ŋ h a ŋ	n + i n c
98	Duhumbi	alive, healthy	alive, healthy	u-kʰaŋ	u+kʰaŋ	u + kʰ a ŋ		68 69	68 69	u u + kʰ a ŋ kʰ a ŋ	n + i n c
101	Khoitam	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a a + h a ŋ h a ŋ	n + i n c
102	Rahung	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a a + h a ŋ h a ŋ	n + i n c
103	Rupa	alive, healthy	alive, healthy	a-haŋ-ba	a+haŋ+ba	a + h a ŋ + b a		68 69 70	68 69 70	a a + h a ŋ h a ŋ + b a b a	n + i n c + i n
104	Shergaon	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a a + h a ŋ h a ŋ	n + i n c
107	Khoina	all	all	a-tʰɔn-ʥi	a+tʰɔn+ʥi	a + tʰ ɔ n + dʑ i		72 71 73	72 71 73	a a + tʰ ɔ n tʰ ɔ n + dʑ i dʑ i	n + i n c + i n
109	Khoitam	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a a + tʰ ɔ m tʰ ɔ m	n + i n c
110	Rahung	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a a + tʰ ɔ m tʰ ɔ m	n + i n c
111	Rupa	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a a + tʰ ɔ m tʰ ɔ m	n + i n c
112	Shergaon	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a a + tʰ ɔ m tʰ ɔ m	n + i n c
113	Khispi	allative	allative	-ta	+ta	t a		74	74	t a - t a -	i n
114	Duhumbi	allative	allative	-ta	+ta	t a		74	74	t a - t a -	i n
116	Jerigaon	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n t ɛ n	i n c
117	Khoitam	allative	allative	-tan	+tan	t a n		74	74	t a n t a n	i n c
118	Rahung	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n t ɛ n	i n c
119	Rupa	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː - t ɔː -	i n
120	Shergaon	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː - t ɔː -	i n
122	Duhumbi	amaranth	amaranth	mɛs-kɔŋ	mɛs+kɔŋ	m ɛ s + k ɔ ŋ		76 75	76 75	m ɛ s m ɛ s + k ɔ ŋ k ɔ ŋ	i n c + i n c
124	Jerigaon	amaranth	amaranth	mə-kuŋ	mə+kuŋ	m ə + k u ŋ		76 75	76 75	m ə - m ə - + k u ŋ k u ŋ	i n + i n c
129	Khispi	angry (vi)	angry (vi)	(ki) ʦʰik	ʦʰik	tsʰ i k		79	79	tsʰ i k tsʰ i k	i n c
130	Duhumbi	angry (vi)	angry (vi)	(ki) ʦʰik	ʦʰik	tsʰ i k		79	79	tsʰ i k tsʰ i k	i n c
131	Khoina	angry (vi)	angry (vi)	lyŋ ʐyk	lyŋ_ʐyk	l y ŋ _ ʐ y k		78 77	78 77	l y ŋ l y ŋ + ʐ y k ʐ y k	i n c + i n c
132	Jerigaon	angry (vi)	angry (vi)	lyŋ zyk	lyŋ_zyk	l y ŋ _ z y k		78 77	78 77	l y ŋ l y ŋ + z y k z y k	i n c + i n c
133	Khoitam	angry (vi)	angry (vi)	liŋ zyk	liŋ_zyk	l i ŋ _ z y k		78 77	78 77	l i ŋ l i ŋ + z y k z y k	i n c + i n c
134	Rahung	angry (vi)	angry (vi)	liŋ zik	liŋ_zik	l i ŋ _ z i k		78 77	78 77	l i ŋ l i ŋ + z i k z i k	i n c + i n c
135	Rupa	angry (vi)	angry (vi)	zə-lik	zə+lik	z ə + l i k		77 78	77 78	z ə - z ə - + l i k l i k	i n + i n c
136	Shergaon	angry (vi)	angry (vi)	zə-lik	zə+lik	z ə + l i k		77 78	77 78	z ə - z ə - + l i k l i k	i n + i n c
137	Khispi	ant	ant	(kʰe-) ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		80	80	tɕʰ ɔ k tɕʰ ɔ k	i n c
138	Duhumbi	ant	ant	(kʰin-) ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		80	80	tɕʰ ɔ k tɕʰ ɔ k	i n c
