ID	NUMBER 	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
Bolt-2018-576-72	72	brother, younger	2417	YOUNGER BROTHER (OF WOMAN)	4
Bolt-2018-576-72	72	brother, younger	1760	YOUNGER BROTHER	4
Bolt-2018-576-72	72	brother, younger	2414	OLDER BROTHER (OF MAN)	4
Bolt-2018-576-72	72	brother, younger	2415	OLDER BROTHER (OF WOMAN)	4
Bolt-2018-576-72	72	brother, younger	1759	OLDER BROTHER	4
Bolt-2018-576-72	72	brother, younger	3040	DIFFERENT-SEX YOUNGER SIBLING	4
Bolt-2018-576-72	72	brother, younger	559	BROTHER (OF MAN)	4
Bolt-2018-576-72	72	brother, younger	560	BROTHER (OF WOMAN)	4
Bolt-2018-576-72	72	brother, younger	1262	BROTHER	4
Bolt-2018-576-72	72	brother, younger	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	4
#>>>					
#<<<					
Bolt-2018-576-73	73	buckwheat, bitter	887	BITTER	4
Bolt-2018-576-73	73	buckwheat, bitter	2040	BUCKWHEAT	4
#>>>					
#<<<					
Bolt-2018-576-74	74	buckwheat, sweet	2040	BUCKWHEAT	4
Bolt-2018-576-74	74	buckwheat, sweet	717	SWEET	4
#>>>					
Bolt-2018-576-75	75	buffalo	934	BUFFALO	2
Bolt-2018-576-76	76	Bugun		???	
#<<<					
Bolt-2018-576-77	77	burn, roast (vt)	141	BURN (SOMETHING)	4
Bolt-2018-576-77	77	burn, roast (vt)	737	LIGHT (IGNITE)	4
Bolt-2018-576-77	77	burn, roast (vt)	2102	BURN	4
Bolt-2018-576-77	77	burn, roast (vt)	1428	BURNING	4
Bolt-2018-576-77	77	burn, roast (vt)	2145	ROAST (DEVICE)	4
Bolt-2018-576-77	77	burn, roast (vt)	1962	ROAST (SOMETHING)	4
Bolt-2018-576-77	77	burn, roast (vt)	2146	ROAST OR FRY	4
#>>>					
#<<<					
Bolt-2018-576-78	78	burn (vi)	141	BURN (SOMETHING)	4
Bolt-2018-576-78	78	burn (vi)	737	LIGHT (IGNITE)	4
Bolt-2018-576-78	78	burn (vi)	2102	BURN	4
Bolt-2018-576-78	78	burn (vi)	1428	BURNING	4
Bolt-2018-576-78	78	burn (vi)	1962	ROAST (SOMETHING)	4
#>>>					
Bolt-2018-576-79	79	butter	1245	BUTTER	2
Bolt-2018-576-80	80	butterfly	1791	BUTTERFLY	2
#<<<					
Bolt-2018-576-81	81	buy	2135	TRADE OR BARTER	2
Bolt-2018-576-81	81	buy	1869	BUY	2
#>>>					
Bolt-2018-576-82	82	call for		???	
Bolt-2018-576-83	83	cane	146	SUGAR CANE	2
#<<<					
Bolt-2018-576-84	84	cap, hat	2130	HEADGEAR	4
Bolt-2018-576-84	84	cap, hat	2730	HAT (CLASSIFIER)	4
Bolt-2018-576-84	84	cap, hat	771	HAT	4
Bolt-2018-576-84	84	cap, hat	2319	LID (COVER, CAP)	4
Bolt-2018-576-84	84	cap, hat	1680	HELMET	4
Bolt-2018-576-84	84	cap, hat	1288	CAP	4
#>>>					
Bolt-2018-576-85	85	carry	700	CARRY	2
Bolt-2018-576-86	86	cat	1208	CAT	2
#<<<					
Bolt-2018-576-87	87	cattle, cow	2168	COW (CLASSIFIER)	4
Bolt-2018-576-87	87	cattle, cow	1007	COW	4
Bolt-2018-576-87	87	cattle, cow	1153	CATTLE	4
Bolt-2018-576-87	87	cattle, cow	631	LIVESTOCK	4
#>>>					
Bolt-2018-576-88	88	cave	1155	CAVE	2
Bolt-2018-576-89	89	charcoal	1188	CHARCOAL	2
Bolt-2018-576-90	90	chest	1592	CHEST	2
Bolt-2018-576-91	91	chew	321	CHEW	2
#<<<					
Bolt-2018-576-92	92	chicken	2512	CHICK	2
Bolt-2018-576-92	92	chicken	1318	CHICKEN	2
#>>>					
#<<<					
Bolt-2018-576-93	93	child	1801	CHILD (DESCENDANT)	2
Bolt-2018-576-93	93	child	1304	CHILD (YOUNG HUMAN)	2
Bolt-2018-576-93	93	child	2099	CHILD	2
#>>>					
Bolt-2018-576-94	94	chili	919	CHILI PEPPER	2
Bolt-2018-576-95	95	chin	1510	CHIN	2
Bolt-2018-576-96	96	civet or spotted wild cat	3157	CIVET	4
#<<<					
Bolt-2018-576-97	97	civet, palm	3157	CIVET	4
Bolt-2018-576-97	97	civet, palm	1181	PALM TREE	4
Bolt-2018-576-97	97	civet, palm	1183	PALM OF HAND	4
#>>>					
#<<<					
Bolt-2018-576-98	98	clean	704	CLEAN	2
Bolt-2018-576-98	98	clean	2235	CLEAN (SOMETHING)	2
#>>>					
#<<<					
Bolt-2018-576-99	99	cliff, ravine	992	CLIFF	4
Bolt-2018-576-99	99	cliff, ravine	1930	RAVINE	4
Bolt-2018-576-99	99	cliff, ravine	618	PRECIPICE	4
#>>>					
Bolt-2018-576-100	100	clitoris		???	
Bolt-2018-576-101	101	clothing	1895	CLOTHES	2
#<<<					
Bolt-2018-576-102	102	cloud, mist, fog	249	FOG	4
Bolt-2018-576-102	102	cloud, mist, fog	1489	CLOUD	4
#>>>					
Bolt-2018-576-103	103	cockroach	1575	COCKROACH	2
#<<<					
Bolt-2018-576-104	104	cold	1287	COLD	2
Bolt-2018-576-104	104	cold	2483	COLD (OF WEATHER)	2
#>>>					
#<<<					
Bolt-2018-576-105	105	cold (vi)	2483	COLD (OF WEATHER)	4
Bolt-2018-576-105	105	cold (vi)	1287	COLD	4
Bolt-2018-576-105	105	cold (vi)	102	COMMON COLD (DISEASE)	4
Bolt-2018-576-105	105	cold (vi)	2932	COLD (CHILL)	4
#>>>					
#<<<					
Bolt-2018-576-106	106	comb	2070	COMB (VERB)	2
Bolt-2018-576-106	106	comb	1475	COMB	2
#>>>					
Bolt-2018-576-107	107	come	1446	COME	2
Bolt-2018-576-108	108	comparative degree		???	
Bolt-2018-576-109	109	CONCEPT		???	
Bolt-2018-576-110	110	cook1		???	
Bolt-2018-576-111	111	cook2		???	
Bolt-2018-576-112	112	copula, existential	1579	BE	4
#<<<					
Bolt-2018-576-113	113	copula, negative	1269	NO	4
Bolt-2018-576-113	113	copula, negative	1240	NOT	4
Bolt-2018-576-113	113	copula, negative	1579	BE	4
#>>>					
Bolt-2018-576-114	114	corpse	767	CORPSE	2
Bolt-2018-576-115	115	cotton	1850	COTTON	2
Bolt-2018-576-116	116	cough (vi)	879	COUGH	4
#<<<					
Bolt-2018-576-117	117	count	1420	COUNT	2
Bolt-2018-576-117	117	count	2945	COUNT (QUANTITY)	2
#>>>					
Bolt-2018-576-118	118	cover (v)	761	COVER	3
#<<<					
Bolt-2018-576-119	119	creeper, vine	343	VINE	4
Bolt-2018-576-119	119	creeper, vine	2388	LIANA	4
#>>>					
#<<<					
Bolt-2018-576-120	120	crow	913	CROW	2
Bolt-2018-576-120	120	crow	2074	CROW (VERB)	2
#>>>					
Bolt-2018-576-121	121	cry	1839	CRY	2
Bolt-2018-576-122	122	cucumber	496	CUCUMBER	2
Bolt-2018-576-123	123	curcuma sp.		???	
Bolt-2018-576-124	124	cure (vi)	499	CURE	4
Bolt-2018-576-125	125	cut	1432	CUT	2
Bolt-2018-576-126	126	dance	1879	DANCE	2
Bolt-2018-576-127	127	daughter	1357	DAUGHTER	2
Bolt-2018-576-128	128	daughter-in-law	1057	DAUGHTER-IN-LAW	2
Bolt-2018-576-129	129	day after tomorrow	1179	DAY AFTER TOMORROW	2
Bolt-2018-576-130	130	day after two days		???	
Bolt-2018-576-131	131	day before two days		???	
Bolt-2018-576-132	132	day before yesterday	1180	DAY BEFORE YESTERDAY	2
Bolt-2018-576-133	133	deaf	996	DEAF	2
Bolt-2018-576-134	134	deep	1593	DEEP	2
#<<<					
Bolt-2018-576-135	135	deer, barking	3152	MUNTJACS	4
Bolt-2018-576-135	135	deer, barking	1206	BARKING	4
Bolt-2018-576-135	135	deer, barking	1936	DEER	4
Bolt-2018-576-135	135	deer, barking	2456	LARGE WILD HERBIVORE	4
#>>>					
#<<<					
Bolt-2018-576-136	136	deer, sambar	3152	MUNTJACS	4
Bolt-2018-576-136	136	deer, sambar	1936	DEER	4
Bolt-2018-576-136	136	deer, sambar	2456	LARGE WILD HERBIVORE	4
#>>>					
Bolt-2018-576-137	137	defeat (vi)	782	DEFEAT	4
#<<<					
Bolt-2018-576-138	138	deity, ghost	1175	GHOST	4
Bolt-2018-576-138	138	deity, ghost	1944	GOD	4
Bolt-2018-576-138	138	deity, ghost	53	SPIRIT	4
#>>>					
Bolt-2018-576-139	139	descend	2014	GO DOWN (DESCEND)	2
Bolt-2018-576-140	140	die	1494	DIE	2
Bolt-2018-576-141	141	dig	1418	DIG	2
Bolt-2018-576-142	142	dirty	1230	DIRTY	2
Bolt-2018-576-143	143	disease	1986	DISEASE	2
Bolt-2018-576-144	144	do	813	DO	2
Bolt-2018-576-145	145	dog	2009	DOG	2
#<<<					
Bolt-2018-576-146	146	dog, wild	2009	DOG	4
Bolt-2018-576-146	146	dog, wild	1208	CAT	4
Bolt-2018-576-146	146	dog, wild	2230	UNTAMED OR WILD	4
#>>>					
Bolt-2018-576-147	147	door	1567	DOOR	2
Bolt-2018-576-148	148	down	1326	DOWN	2
#<<<					
Bolt-2018-576-149	149	down (visible)	2014	GO DOWN (DESCEND)	4
Bolt-2018-576-149	149	down (visible)	1280	FALL	4
Bolt-2018-576-149	149	down (visible)	2094	DOWN OR BELOW	4
Bolt-2018-576-149	149	down (visible)	1326	DOWN	4
#>>>					
#<<<					
Bolt-2018-576-150	150	dragon, thunder, lightning	2378	THUNDER (VERB)	4
Bolt-2018-576-150	150	dragon, thunder, lightning	1150	THUNDER	4
Bolt-2018-576-150	150	dragon, thunder, lightning	2007	BOLT (OF LIGHTNING)	4
Bolt-2018-576-150	150	dragon, thunder, lightning	2038	DRAGON	4
Bolt-2018-576-150	150	dragon, thunder, lightning	1732	SKY	4
Bolt-2018-576-150	150	dragon, thunder, lightning	1654	LIGHTNING	4
Bolt-2018-576-150	150	dragon, thunder, lightning	2377	FLASH (VERB)	4
#>>>					
#<<<					
Bolt-2018-576-151	151	dream (n)	1920	DREAM (SOMETHING)	2
Bolt-2018-576-151	151	dream (n)	2374	DREAM	2
#>>>					
Bolt-2018-576-152	152	drink	1401	DRINK	2
Bolt-2018-576-153	153	dry (adj.)	1398	DRY	2
#<<<					
Bolt-2018-576-154	154	dry, dry up (v.i.)	1398	DRY	4
Bolt-2018-576-154	154	dry, dry up (v.i.)	1786	DRY UP	4
#>>>					
Bolt-2018-576-155	155	dual		???	
#<<<					
Bolt-2018-576-156	156	eagle, buzzard	1865	BUZZARD	4
Bolt-2018-576-156	156	eagle, buzzard	2683	EAGLE OR HAWK	4
Bolt-2018-576-156	156	eagle, buzzard	1905	EAGLE	4
#>>>					
Bolt-2018-576-157	157	ear	1247	EAR	2
Bolt-2018-576-158	158	earthworm	2350	EARTHWORM	2
Bolt-2018-576-159	159	eat	1336	EAT	2
Bolt-2018-576-160	160	egg	744	EGG	2
Bolt-2018-576-161	161	eggplant	1146	AUBERGINE	2
Bolt-2018-576-162	162	eight	1705	EIGHT	2
Bolt-2018-576-163	163	elbow	981	ELBOW	2
Bolt-2018-576-164	164	elephant	1290	ELEPHANT	2
Bolt-2018-576-165	165	empty	1624	EMPTY	2
#<<<					
Bolt-2018-576-166	166	excrement	47	EXCRETA	2
Bolt-2018-576-166	166	excrement	675	FAECES (EXCREMENT)	2
#>>>					
Bolt-2018-576-167	167	excrete		???	
Bolt-2018-576-168	168	exit	1752	LEAVE	2
Bolt-2018-576-169	169	eye	1248	EYE	2
Bolt-2018-576-170	170	face1		???	
Bolt-2018-576-171	171	face2		???	
Bolt-2018-576-172	172	falcon		???	
Bolt-2018-576-173	173	fall1		???	
Bolt-2018-576-174	174	fall2		???	
Bolt-2018-576-175	175	far	1406	FAR	2
Bolt-2018-576-176	176	fast	1631	FAST	2
Bolt-2018-576-177	177	father	1217	FATHER	2
Bolt-2018-576-178	178	fat (n)	323	FAT (ORGANIC SUBSTANCE)	2
#<<<					
Bolt-2018-576-179	179	fear (vi)	1419	FEAR (BE AFRAID)	4
Bolt-2018-576-179	179	fear (vi)	781	FEAR (FRIGHT)	4
Bolt-2018-576-179	179	fear (vi)	2109	FEAR OR FRIGHTEN	4
#>>>					
Bolt-2018-576-180	180	female	1551	FEMALE	2
Bolt-2018-576-181	181	fence	1690	FENCE	2
Bolt-2018-576-182	182	fern, fiddlehead		???	
Bolt-2018-576-183	183	fetch		???	
#<<<					
Bolt-2018-576-184	184	few, little	2924	A LITTLE	4
Bolt-2018-576-184	184	few, little	1246	SMALL	4
Bolt-2018-576-184	184	few, little	1242	FEW	4
#>>>					
Bolt-2018-576-185	185	field	212	FIELD	2
Bolt-2018-576-186	186	finger	1303	FINGER	2
Bolt-2018-576-187	187	fire	221	FIRE	2
Bolt-2018-576-188	188	fire prefix		???	
#<<<					
Bolt-2018-576-189	189	fish	227	FISH	2
Bolt-2018-576-189	189	fish	2638	FISHING	2
#>>>					
Bolt-2018-576-190	190	five	493	FIVE	2
Bolt-2018-576-191	191	flame	889	FLAME	2
Bolt-2018-576-192	192	flee	956	FLEE	2
Bolt-2018-576-193	193	float	1574	FLOAT	2
Bolt-2018-576-194	194	flour	1594	FLOUR	2
Bolt-2018-576-195	195	flow	2003	FLOW	2
Bolt-2018-576-196	196	fly (n)	1504	FLY (INSECT)	2
#<<<					
Bolt-2018-576-197	197	fly (vi)	1504	FLY (INSECT)	4
Bolt-2018-576-197	197	fly (vi)	1441	FLY (MOVE THROUGH AIR)	4
#>>>					
Bolt-2018-576-198	198	fodder	3046	FODDER	4
Bolt-2018-576-199	199	food	256	FOOD	2
Bolt-2018-576-200	200	forehead	123	FOREHEAD	2
Bolt-2018-576-201	201	forest1		???	
Bolt-2018-576-202	202	forest2		???	
Bolt-2018-576-203	203	forget	1523	FORGET	2
Bolt-2018-576-204	204	four	1500	FOUR	2
Bolt-2018-576-205	205	friend	1325	FRIEND	2
Bolt-2018-576-206	206	frog	503	FROG	2
Bolt-2018-576-207	207	frost	2034	FROST	2
Bolt-2018-576-208	208	fruit	1507	FRUIT	2
Bolt-2018-576-209	209	frying pan	31	PAN	2
Bolt-2018-576-210	210	full	1429	FULL	2
Bolt-2018-576-211	211	gall, bile	1780	BILE	4
Bolt-2018-576-212	212	garden	586	GARDEN	2
Bolt-2018-576-213	213	garlic	2368	GARLIC	2
#<<<					
Bolt-2018-576-214	214	give	1447	GIVE	2
Bolt-2018-576-214	214	give	196	DONATE	2
#>>>					
Bolt-2018-576-215	215	go	695	GO	2
Bolt-2018-576-216	216	goat	1502	GOAT	2
Bolt-2018-576-217	217	goitre	1957	GOITER	4
Bolt-2018-576-218	218	gold	1369	GOLD	2
Bolt-2018-576-219	219	good	1035	GOOD	2
Bolt-2018-576-220	220	goral		???	
Bolt-2018-576-221	221	gourd	411	GOURD	2
Bolt-2018-576-222	222	grandfather	1383	GRANDFATHER	2
Bolt-2018-576-223	223	grandmother	1496	GRANDMOTHER	2
Bolt-2018-576-224	224	green	1425	GREEN	2
#<<<					
Bolt-2018-576-225	225	grind, pound	1033	GRIND	4
Bolt-2018-576-225	225	grind, pound	636	MILL	4
Bolt-2018-576-225	225	grind, pound	1665	BEAT	4
Bolt-2018-576-225	225	grind, pound	354	POUND	4
#>>>					
Bolt-2018-576-226	226	gum		???	
Bolt-2018-576-227	227	hail	609	HAIL	2
#<<<					
Bolt-2018-576-228	228	hair (body): feather	1201	FEATHER	4
Bolt-2018-576-228	228	hair (body): feather	2381	FEATHER OR FUR OR HAIR	4
Bolt-2018-576-228	228	hair (body): feather	189	HAIR (BODY)	4
Bolt-2018-576-228	228	hair (body): feather	2648	HAIR (HEAD)	4
Bolt-2018-576-228	228	hair (body): feather	2107	HAIR OR FOREHEAD	4
Bolt-2018-576-228	228	hair (body): feather	2678	HAIR OR FUR	4
Bolt-2018-576-228	228	hair (body): feather	1040	HAIR	4
Bolt-2018-576-228	228	hair (body): feather	2151	COARSE	4
#>>>					
Bolt-2018-576-229	229	hair (head)	2648	HAIR (HEAD)	2
#<<<					
Bolt-2018-576-230	230	halt, stop	1928	CEASE	4
Bolt-2018-576-230	230	halt, stop	2880	HALT (STOP)	4
#>>>					
Bolt-2018-576-231	231	hand, arm	2121	ARM OR HAND	2
Bolt-2018-576-232	232	hard	1884	HARD	2
#<<<					
Bolt-2018-576-233	233	hatch	3116	HATCH (OUT)	2
Bolt-2018-576-233	233	hatch	2075	BROOD (VERB)	2
#>>>					
Bolt-2018-576-234	234	head	1256	HEAD	2
Bolt-2018-576-235	235	heart	1223	HEART	2
Bolt-2018-576-236	236	hearth, fireplace	185	FIREPLACE	4
Bolt-2018-576-237	237	heavy	1210	HEAVY	2
Bolt-2018-576-238	238	here	136	HERE	2
#<<<					
Bolt-2018-576-239	239	hide	602	HIDE (CONCEAL)	2
Bolt-2018-576-239	239	hide	2485	HIDE (ONESELF)	2
Bolt-2018-576-239	239	hide	2486	HIDE	2
#>>>					
Bolt-2018-576-240	240	hold	1448	HOLD	2
Bolt-2018-576-241	241	honey	942	HONEY	2
#<<<					
Bolt-2018-576-242	242	horn	939	HORN (INSTRUMENT)	2
Bolt-2018-576-242	242	horn	1393	HORN (ANATOMY)	2
#>>>					
Bolt-2018-576-243	243	hornbill		???	
Bolt-2018-576-244	244	hornet		???	
Bolt-2018-576-245	245	horse	615	HORSE	2
Bolt-2018-576-246	246	horsefly		???	
Bolt-2018-576-247	247	house	1252	HOUSE	2
Bolt-2018-576-248	248	how many	822	HOW MANY	2
Bolt-2018-576-249	249	human being	683	PERSON	4
Bolt-2018-576-250	250	human being prefix		???	
Bolt-2018-576-251	251	hungry (vi)	1533	BE HUNGRY	4
Bolt-2018-576-252	252	hunter	1053	HUNTER	2
Bolt-2018-576-253	253	husband	1200	HUSBAND	2
Bolt-2018-576-254	254	ice	617	ICE	2
Bolt-2018-576-255	255	imperative		???	
Bolt-2018-576-256	256	in	1460	IN	2
Bolt-2018-576-257	257	Indo-Aryan person		???	
Bolt-2018-576-258	258	insect	620	INSECT	2
Bolt-2018-576-259	259	intestines	1991	INTESTINES	2
#<<<					
Bolt-2018-576-260	260	iron	3118	IRON (CLOTHES)	2
Bolt-2018-576-260	260	iron	621	IRON	2
#>>>					
Bolt-2018-576-261	261	itch	148	ITCH	2
Bolt-2018-576-262	262	jackal		???	
Bolt-2018-576-263	263	Jerigaon people		???	
Bolt-2018-576-264	264	jump	1829	JUMP	2
#<<<					
Bolt-2018-576-265	265	keep, remain	1997	PRESERVE	4
Bolt-2018-576-265	265	keep, remain	987	REMAIN	4
Bolt-2018-576-265	265	keep, remain	1477	KEEP	4
Bolt-2018-576-265	265	keep, remain	838	REMAINS	4
#>>>					
Bolt-2018-576-266	266	Khoitam people		???	
Bolt-2018-576-267	267	kick (v)	1135	KICK	3
Bolt-2018-576-268	268	kill	1417	KILL	2
#<<<					
Bolt-2018-576-269	269	kiss (n)	578	KISS	4
Bolt-2018-576-269	269	kiss (n)	375	SNIFF	4
#>>>					
Bolt-2018-576-270	270	knee	1371	KNEE	2
Bolt-2018-576-271	271	know	1410	KNOW (SOMETHING)	2
Bolt-2018-576-272	272	ladder	1464	LADDER	2
Bolt-2018-576-273	273	language	1307	LANGUAGE	2
Bolt-2018-576-274	274	langur		???	
Bolt-2018-576-275	275	lap		???	
#<<<					
Bolt-2018-576-276	276	late (vi)	425	BE LATE	4
Bolt-2018-576-276	276	late (vi)	477	LATE	4
#>>>					
Bolt-2018-576-277	277	laugh	1355	LAUGH	2
#<<<					
Bolt-2018-576-278	278	leaf	628	LEAF	2
Bolt-2018-576-278	278	leaf	2250	LEAF (LEAFLIKE OBJECT)	2
#>>>					
Bolt-2018-576-279	279	leaf litter		???	
#<<<					
Bolt-2018-576-280	280	leech, land	166	MAINLAND	4
Bolt-2018-576-280	280	leech, land	1228	EARTH (SOIL)	4
Bolt-2018-576-280	280	leech, land	1922	LAND (DESCEND)	4
Bolt-2018-576-280	280	leech, land	626	LAND	4
Bolt-2018-576-280	280	leech, land	1300	COUNTRY	4
Bolt-2018-576-280	280	leech, land	949	WATER LEECH	4
Bolt-2018-576-280	280	leech, land	2273	LEECH	4
#>>>					
#<<<					
Bolt-2018-576-281	281	leech, water	3078	IRRIGATE	4
Bolt-2018-576-281	281	leech, water	2273	LEECH	4
Bolt-2018-576-281	281	leech, water	1487	POUR	4
Bolt-2018-576-281	281	leech, water	2798	RIVER OR WATER	4
Bolt-2018-576-281	281	leech, water	949	WATER LEECH	4
Bolt-2018-576-281	281	leech, water	1401	DRINK	4
Bolt-2018-576-281	281	leech, water	948	WATER	4
#>>>					
Bolt-2018-576-282	282	left (side)	244	LEFT	2
Bolt-2018-576-283	283	leg	1297	LEG	2
Bolt-2018-576-284	284	lick	319	LICK	2
#<<<					
Bolt-2018-576-285	285	lie (n)	475	UNTRUTH	4
