ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	NOTE	COGIDS	AUTOCOGS	ALIGNMENT
2045	Khoitam	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə ◦ tɕʰ uː
2046	Rahung	Indo-Aryan person	Indo-Aryan person	ʨʰə-ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː		14 13	14 13	tɕʰ ə ◦ tɕʰ uː
2047	Rupa	Indo-Aryan person	Indo-Aryan person	nə-ʨʰuː ~ də-ʨʰuː	nə+ʨʰuː	n ə + tɕʰ uː		16 13	16 13	n ə ◦ tɕʰ uː
2048	Shergaon	Indo-Aryan person	Indo-Aryan person	də-ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː		16 13	14 13	d ə ◦ tɕʰ uː
2091	Khoina	Jerigaon people	Jerigaon people	də-ʨĩː-ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i		19 17 18	19 17 18	d ə ◦ tɕ ĩː ◦ dʑ i
2092	Jerigaon	Jerigaon people	Jerigaon people	kʰ-ʨĩː-ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i		20 17 18	20 17 18	kʰ ◦ tɕ ĩː ◦ dʑ i
2095	Rupa	Jerigaon people	Jerigaon people	di-ʨʰi-ʥi	di+ʨʰi+ʥi	d i + tɕʰ i + dʑ i		19 17 18	19 17 18	d i ◦ tɕʰ i ◦ dʑ i
2113	Khispi	Khoitam people	Khoitam people	kʰus-tam-bi	kʰus+tam+bi	kʰ u s + t a m + b i		21 23 22	21 23 22	kʰ u s ◦ t a m ◦ b i
2115	Khoina	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - ◦ t a m ◦ dʑ i
2116	Jerigaon	Khoitam people	Khoitam people	kʰ-tam-ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i		21 23 22	21 23 22	kʰ - - ◦ t a m ◦ dʑ i
2119	Rupa	Khoitam people	Khoitam people	gə-tam-ʥi	gə+tam+ʥi	g ə + t a m + dʑ i		21 23 22	21 23 22	g ə - ◦ t a m ◦ dʑ i
2120	Shergaon	Khoitam people	Khoitam people	ka-tam-ʥi	ka+tam+ʥi	k a + t a m + dʑ i		21 23 22	21 23 22	k a - ◦ t a m ◦ dʑ i
2499	Khoina	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u ◦ n ɔ̃ː
2500	Jerigaon	Miji people	Miji people	kʰu-nɔ̃ː-ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i		25 24 26	25 24 26	kʰ u ◦ n ɔ̃ː ◦ dʑ i
2502	Rahung	Miji people	Miji people	kʰu-nũː(ŋ)	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u ◦ n ũː
2503	Rupa	Miji people	Miji people	kʰu-nũː	kʰu+nũː	kʰ u + n ũː		25 24	25 24	kʰ u ◦ n ũː
2504	Shergaon	Miji people	Miji people	kʰu-nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː		25 24	25 24	kʰ u ◦ n ɔ̃ː
2537	Khispi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n ◦ p a
2538	Duhumbi	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n ◦ p a
2539	Khoina	Monpa	Monpa	ʥə-mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː		29 30	29 27	dʑ ə ◦ m ɐ̃ː
2542	Rahung	Monpa	Monpa	mɔn-pa	mɔn+pa	m ɔ n + p a		30 28	30 28	m ɔ n ◦ p a
2543	Rupa	Monpa	Monpa	ʥə-mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː		29 30	29 27	dʑ ə ◦ m ɔ̃ː
2544	Shergaon	Monpa	Monpa	ʥɔ-mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː		29 30	29 27	dʑ ɔ ◦ m ɔ̃ː
2657	Khispi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m ◦ ɕ u ◦ p a
2658	Duhumbi	Namshu people	Namshu people	nam-ɕu-pa	nam+ɕu+pa	n a m + ɕ u + p a		33 31 32	33 31 32	n a m ◦ ɕ u ◦ p a
2659	Khoina	Namshu people	Namshu people	na-ʦʰɔː-ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i		33 31 32	33 31 32	n a - ◦ tsʰ ɔː ◦ dʑ i
2660	Jerigaon	Namshu people	Namshu people	nə-ʨo-ʥi	nə+ʨo+ʥi	n ə + tɕ o + dʑ i		33 31 32	33 31 32	n ə - ◦ tɕ o ◦ dʑ i
2662	Rahung	Namshu people	Namshu people	pʰ-ʨʰoː-ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i		33 31 32	34 31 32	pʰ ◦ tɕʰ oː ◦ dʑ i
3073	Khispi	Puroik	Puroik	bi-ɕ-taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ		37 38 35	37 38 35	b i ◦ ɕ ◦ t a ŋ
3074	Duhumbi	Puroik	Puroik	bi-s-taŋ	bi+s+taŋ	b i + s + t a ŋ		37 38 35	37 38 35	b i ◦ s ◦ t a ŋ
3075	Khoina	Puroik	Puroik	ɕ-taŋ	ɕ+taŋ	ɕ + t a ŋ		38 35	36 35	ɕ ◦ t a ŋ
3079	Rupa	Puroik	Puroik	s-taŋ	s+taŋ	s + t a ŋ		38 35	36 35	s ◦ t a ŋ
3137	Khispi	Rahung, people of	Rahung, people of	la-pʰuŋ-bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i		41 40 39	42 40 39	l a ◦ pʰ u ŋ ◦ b i
3139	Khoina	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə ◦ pʰ i ŋ ◦ dʑ i
3140	Jerigaon	Rahung, people of	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i		41 40 39	41 40 39	r ə ◦ pʰ i ŋ ◦ dʑ i
3143	Rupa	Rahung, people of	Rahung, people of	rə-pʰyŋ-ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i		41 40 39	41 40 39	r ə ◦ pʰ y ŋ ◦ dʑ i
3144	Shergaon	Rahung, people of	Rahung, people of	ru-pʰuŋ-ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i		41 40 39	41 40 39	r u ◦ pʰ u ŋ ◦ dʑ i
3491	Khoina	Sherdukpen	Sherdukpen	tʰɔː-mø-ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i		44 43 45	44 43 45	tʰ ɔː - ◦ m ø ◦ dʑ i
3492	Jerigaon	Sherdukpen	Sherdukpen	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i		44 45	44 46	tʰ ɔ̃ ŋ ◦ dʑ i
3494	Rahung	Sherdukpen	Sherdukpen	tʰə-mø-ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i		44 43 45	44 43 45	tʰ ə - ◦ m ø ◦ dʑ i
3495	Rupa	Sherdukpen	Sherdukpen	møˀ	møˀ	m øˀ		43	43	m øˀ
3496	Shergaon	Sherdukpen	Sherdukpen	meˀ	meˀ	m eˀ		43	43	m eˀ
3497	Khispi	Shergaon, people of	Shergaon, people of	ɕɛl-pi	ɕɛl+pi	ɕ ɛ l + p i		47 48	47 49	ɕ ɛ l ◦ p i
3499	Khoina	Shergaon, people of	Shergaon, people of	ʂɛ̃ː(n)-ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː + dʑ i		47 48	47 48	ʂ ɛ̃ː - ◦ dʑ i
3500	Jerigaon	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - ◦ dʑ i
3502	Rahung	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - ◦ dʑ i
3503	Rupa	Shergaon, people of	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː + dʑ i		47 48	47 48	s ɛ̃ː - ◦ dʑ i
4145	Khispi	Thembang people	Thembang people	tʰje-maŋ-bi	tʰje+maŋ+bi	tʰ j e + m a ŋ + b i		50 51 52	50 51 52	tʰ j e - ◦ m a ŋ ◦ b i
4146	Duhumbi	Thembang people	Thembang people	tʰɛm-baŋ-pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a		50 51 52	50 51 52	tʰ - ɛ m ◦ b a ŋ ◦ p a
4147	Khoina	Thembang people	Thembang people	tʰɛm-baŋ-ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - ɛ m ◦ b a ŋ ◦ dʑ i
4148	Jerigaon	Thembang people	Thembang people	tʰəbang-ʥi	tʰəbaŋ+ʥi	tʰ ə + b a ŋ + dʑ i	!modified this from "ng" to "ŋ" @lingulist	54 53	54 53	tʰ ə b a n g ◦ dʑ i
4150	Rahung	Thembang people	Thembang people	tʰam-baŋ-ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i		50 51 52	50 51 52	tʰ - a m ◦ b a ŋ ◦ dʑ i
41	Khispi	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ
42	Duhumbi	ablative	ablative	-lɔˀ	+lɔˀ	l ɔˀ		55	55	l ɔˀ
43	Khoina	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ
44	Jerigaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ
45	Khoitam	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ
46	Rahung	ablative	ablative	-rɔ	+rɔ	r ɔ		55	55	r ɔ
47	Rupa	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ
48	Shergaon	ablative	ablative	-lɔ	+lɔ	l ɔ		55	55	l ɔ
49	Khispi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ
50	Duhumbi	above, top	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ		58	58	tɕʰ a ŋ
51	Khoina	above, top	above, top	a-ʦʰɔ̃ː(ŋ)	a+ʦʰɔ̃ː	a + tsʰ ɔ̃ː		56 58	56 57	a ◦ tsʰ ɔ̃ː
52	Jerigaon	above, top	above, top	a-ʨʰɔ̃ː(ŋ)	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː		56 58	56 57	a ◦ tɕʰ ɔ̃ː
53	Khoitam	above, top	above, top	a-ʨʰũː(ŋ)	a+ʨʰũː	a + tɕʰ ũː		56 58	56 57	a ◦ tɕʰ ũː
57	Khispi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n
58	Duhumbi	achieve, obtain	achieve, obtain	man	man	m a n		59	59	m a n
59	Khoina	achieve, obtain	achieve, obtain	mɐ̃ː	mɐ̃ː	m ɐ̃ː		59	59	m ɐ̃ː -
61	Khoitam	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -
62	Rahung	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -
63	Rupa	achieve, obtain	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː		59	59	m ɔ̃ː -
65	Khispi	aconite	aconite	si	si	s i		60	60	s i
66	Duhumbi	aconite	aconite	si	si	s i		60	60	s i
67	Khoina	aconite	aconite	saː	saː	s aː		60	60	s aː
68	Jerigaon	aconite	aconite	sɛː	sɛː	s ɛː		60	60	s ɛː
69	Khoitam	aconite	aconite	sɛ	sɛ	s ɛ		60	60	s ɛ
70	Rahung	aconite	aconite	sɛˀ	sɛˀ	s ɛˀ		60	60	s ɛˀ
71	Rupa	aconite	aconite	saː	saː	s aː		60	60	s aː
72	Shergaon	aconite	aconite	saː	saː	s aː		60	60	s aː
73	Khispi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a ◦ kʰ u ŋ
74	Duhumbi	after	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ		62 61	62 61	l a ◦ kʰ u ŋ
75	Khoina	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a ◦ kʰ y ŋ
78	Rahung	after	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ		62 61	62 61	l a ◦ kʰ y ŋ
79	Rupa	after	after	də-kʰyŋ	də+kʰyŋ	d ə + kʰ y ŋ		62 61	63 61	d ə ◦ kʰ y ŋ
83	Khoina	afternoon	afternoon	na-jɔ-tøn	na+jɔ+tøn	n a + j ɔ + t ø n		64 65 66	64 65 66	n a - ◦ j ɔ ◦ t ø n
84	Jerigaon	afternoon	afternoon	ny-jɔ-tɛn	ny+jɔ+tɛn	n y + j ɔ + t ɛ n		64 65 66	64 65 66	n y - ◦ j ɔ ◦ t ɛ n
85	Khoitam	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - ◦ j ɔ
86	Rahung	afternoon	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ		64 65	64 65	n y - ◦ j ɔ
87	Rupa	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w
88	Shergaon	afternoon	afternoon	ɲaw	ɲaw	ɲ a w		64	64	ɲ a w
89	Khispi	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ
90	Duhumbi	agent	agent	-ɔˀ	+ɔˀ	ɔˀ		67	67	ɔˀ
93	Khoitam	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ
94	Rahung	agent	agent	-ɔ	+ɔ	ɔ		67	67	ɔ
95	Rupa	agent	agent	-ɔ̃	+ɔ̃	ɔ̃		67	67	ɔ̃
97	Khispi	alive, healthy	alive, healthy	ɔ-haŋ	ɔ+haŋ	ɔ + h a ŋ		68 69	68 69	ɔ ◦ h a ŋ
98	Duhumbi	alive, healthy	alive, healthy	u-kʰaŋ	u+kʰaŋ	u + kʰ a ŋ		68 69	68 69	u ◦ kʰ a ŋ
101	Khoitam	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a ◦ h a ŋ
102	Rahung	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a ◦ h a ŋ
103	Rupa	alive, healthy	alive, healthy	a-haŋ-ba	a+haŋ+ba	a + h a ŋ + b a		68 69 70	68 69 70	a ◦ h a ŋ ◦ b a
104	Shergaon	alive, healthy	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ		68 69	68 69	a ◦ h a ŋ
107	Khoina	all	all	a-tʰɔn-ʥi	a+tʰɔn+ʥi	a + tʰ ɔ n + dʑ i		72 71 73	72 71 73	a ◦ tʰ ɔ n ◦ dʑ i
109	Khoitam	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a ◦ tʰ ɔ m
110	Rahung	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a ◦ tʰ ɔ m
111	Rupa	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a ◦ tʰ ɔ m
112	Shergaon	all	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m		72 71	72 71	a ◦ tʰ ɔ m
113	Khispi	allative	allative	-ta	+ta	t a		74	74	t a -
114	Duhumbi	allative	allative	-ta	+ta	t a		74	74	t a -
116	Jerigaon	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n
117	Khoitam	allative	allative	-tan	+tan	t a n		74	74	t a n
118	Rahung	allative	allative	-tɛn	+tɛn	t ɛ n		74	74	t ɛ n
119	Rupa	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː -
120	Shergaon	allative	allative	-tɔː	+tɔː	t ɔː		74	74	t ɔː -
122	Duhumbi	amaranth	amaranth	mɛs-kɔŋ	mɛs+kɔŋ	m ɛ s + k ɔ ŋ		76 75	76 75	m ɛ s ◦ k ɔ ŋ
124	Jerigaon	amaranth	amaranth	mə-kuŋ	mə+kuŋ	m ə + k u ŋ		76 75	76 75	m ə - ◦ k u ŋ
129	Khispi	angry (vi)	angry (vi)	(ki) ʦʰik	ʦʰik	tsʰ i k		79	79	tsʰ i k
130	Duhumbi	angry (vi)	angry (vi)	(ki) ʦʰik	ʦʰik	tsʰ i k		79	79	tsʰ i k
131	Khoina	angry (vi)	angry (vi)	lyŋ ʐyk	lyŋ_ʐyk	l y ŋ _ ʐ y k		78 77	78 77	l y ŋ ◦ ʐ y k
132	Jerigaon	angry (vi)	angry (vi)	lyŋ zyk	lyŋ_zyk	l y ŋ _ z y k		78 77	78 77	l y ŋ ◦ z y k
133	Khoitam	angry (vi)	angry (vi)	liŋ zyk	liŋ_zyk	l i ŋ _ z y k		78 77	78 77	l i ŋ ◦ z y k
134	Rahung	angry (vi)	angry (vi)	liŋ zik	liŋ_zik	l i ŋ _ z i k		78 77	78 77	l i ŋ ◦ z i k
135	Rupa	angry (vi)	angry (vi)	zə-lik	zə+lik	z ə + l i k		77 78	77 78	z ə - ◦ l i k
136	Shergaon	angry (vi)	angry (vi)	zə-lik	zə+lik	z ə + l i k		77 78	77 78	z ə - ◦ l i k
137	Khispi	ant	ant	(kʰe-) ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		80	80	tɕʰ ɔ k
138	Duhumbi	ant	ant	(kʰin-) ʨʰɔk	ʨʰɔk	tɕʰ ɔ k		80	80	tɕʰ ɔ k
139	Khoina	ant	ant	ʂan-dʐɔk	ʂan+dʐɔk	ʂ a n + ɖʐ ɔ k		81 80	81 80	ʂ a n ◦ ɖʐ ɔ k
140	Jerigaon	ant	ant	san-ʥɔk	san+ʥɔk	s a n + dʑ ɔ k		81 80	81 80	s a n ◦ dʑ ɔ k
141	Khoitam	ant	ant	saŋ-ʥɔk	saŋ+ʥɔk	s a ŋ + dʑ ɔ k		81 80	81 80	s a ŋ ◦ dʑ ɔ k
142	Rahung	ant	ant	saŋ-ʥɔk	saŋ+ʥɔk	s a ŋ + dʑ ɔ k		81 80	81 80	s a ŋ ◦ dʑ ɔ k
143	Rupa	ant	ant	san-ɟɔk ~ san-ʥɔk	san+ɟɔk	s a n + ɟ ɔ k		81 80	81 80	s a n ◦ ɟ ɔ k
144	Shergaon	ant	ant	san-ʥɔk	san+ʥɔk	s a n + dʑ ɔ k		81 80	81 80	s a n ◦ dʑ ɔ k
145	Khispi	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t
146	Duhumbi	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t
147	Khoina	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t
148	Jerigaon	arrive	arrive	pʰɛʔ	pʰɛʔ	pʰ ɛ ʔ		82	82	pʰ ɛ ʔ
149	Khoitam	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t
150	Rahung	arrive	arrive	pʰɛt	pʰɛt	pʰ ɛ t		82	82	pʰ ɛ t
153	Khispi	arrow	arrow	mik	mik	m i k		83	83	m i k
154	Duhumbi	arrow	arrow	mik	mik	m i k		83	83	m i k
156	Jerigaon	arrow	arrow	mik	mik	m i k		83	83	m i k
157	Khoitam	arrow	arrow	mik	mik	m i k		83	83	m i k
158	Rahung	arrow	arrow	mik-ri	mik+ri	m i k + r i		83 84	83 84	m i k ◦ r i
159	Rupa	arrow	arrow	mik	mik	m i k		83	83	m i k
160	Shergaon	arrow	arrow	mit	mit	m i t		83	83	m i t
162	Duhumbi	ascend	ascend	ʥaŋ(-luŋ)	ʥaŋ	dʑ a ŋ		85	85	dʑ a ŋ
163	Khoina	ascend	ascend	ʥaŋ	ʥaŋ	dʑ a ŋ		85	85	dʑ a ŋ
164	Jerigaon	ascend	ascend	(kʰa-)ʥaŋ (aŋ)	ʥaŋ	dʑ a ŋ		85	85	dʑ a ŋ
166	Rahung	ascend	ascend	(kʰan-)ʥaŋ (ɔŋ)	ʥaŋ	dʑ a ŋ		85	85	dʑ a ŋ
169	Khispi	ash	ash	ʨʰu-pʰa	ʨʰu+pʰa	tɕʰ u + pʰ a		87 86	87 86	tɕʰ u ◦ pʰ - a
170	Duhumbi	ash	ash	ʨʰu-pʰaˀ	ʨʰu+pʰaˀ	tɕʰ u + pʰ aˀ		87 86	87 86	tɕʰ u ◦ pʰ - aˀ
171	Khoina	ash	ash	ʥɐ-pʰlu	ʥɐ+pʰlu	dʑ ɐ + pʰ l u		87 86	87 86	dʑ ɐ ◦ pʰ l u
172	Jerigaon	ash	ash	ʨʰɐ-pʰlu	ʨʰɐ+pʰlu	tɕʰ ɐ + pʰ l u		87 86	87 86	tɕʰ ɐ ◦ pʰ l u
173	Khoitam	ash	ash	ʨʰa-pʰlu	ʨʰa+pʰlu	tɕʰ a + pʰ l u		87 86	87 86	tɕʰ a ◦ pʰ l u
174	Rahung	ash	ash	ʨʰa-pʰru ~ ʨʰa-pʰlu	ʨʰa+pʰru	tɕʰ a + pʰ r u		87 86	87 86	tɕʰ a ◦ pʰ r u
175	Rupa	ash	ash	ʨʰa-pʰlu	ʨʰa+pʰlu	tɕʰ a + pʰ l u		87 86	87 86	tɕʰ a ◦ pʰ l u
176	Shergaon	ash	ash	ʨʰa-plu	ʨʰa+plu	tɕʰ a + p l u		87 86	87 86	tɕʰ a ◦ p l u
177	Khispi	ask	ask	ʥik	ʥik	dʑ i k		88	88	dʑ i k
178	Duhumbi	ask	ask	ʥik	ʥik	dʑ i k		88	88	dʑ i k
179	Khoina	ask	ask	ʐik	ʐik	ʐ i k		88	88	ʐ i k
181	Khoitam	ask	ask	zik	zik	z i k		88	88	z i k
182	Rahung	ask	ask	zik	zik	z i k		88	88	z i k
